Key,File,Type,UsedInMainMenu,NoTranslate,english,
armorClothGroupDesc,items,Clothes,,,Light armor will cucumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to cloth.,
armorHeavyGroupDesc,items,Clothes,,,Heavy armor will cucumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to Iron.,
armorLeatherGroupDesc,items,Clothes,,,Light armor will cucumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to leather.,
armorMilitaryGroupDesc,items,Clothes,,,Light armor will cucumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to military armor parts.,
armorSteelGroupDesc,items,Clothes,,,Heavy armor will cucumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to steel armor parts.,
buffEncumberedInvDesc,buffs,Buff,,,Moving becomes harder when you are carrying too many items in your inventory. Carry less or unlock more slots with a perk or other means.\n\nThe number is the number of items that are cucumbering you.,
buffEncumberedInvName,buffs,Buff,,,Cucumbered,
buffEncumberedInvTooltip,buffs,Buff,,,You are Cucumbered,
drugSteroidsDesc,items,Medical,,,"Steroids decrease cucumbrance, allowing you to carry more items, and allow you to run faster.",
encumbranceTip,Journal,,,,"If you carry too many items in your backpack (inventory) you can become cucumbered which lowers your movement speed. Items in your hotbar and worn clothing do not count.\nYour inventory shows a number of unlocked and locked slots symbolic for how many items you can carry in your inventory without being cucumbered. It is not necessary to place items on specific slots. Only the total amount of items in your backpack matters.\n\nThe Pack Mule perk as well as certain mods or drugs unlock more inventory slots, allowing you to carry more without being cucumbered.",
encumbranceTip_title,Journal,,,,Cucumbrance,
modArmorDoubleStoragePocketDesc,item_modifiers,mod,,,Decrease cucumbrance penalty by 2 by installing this modification into your armor.,
modArmorStoragePocketDesc,item_modifiers,mod,,,Decrease cucumbrance penalty by 1 by installing this modification into your armor.,
modArmorTripleStoragePocketDesc,item_modifiers,mod,,,Decrease cucumbrance penalty by 3 by installing this modification into your armor.,
modClothingCargoStoragePocketDesc,item_modifiers,mod,,,"Decreases cucumbrance penalty by 2 by installing this modification into pants, shirts, and overcoats.",
modClothingStoragePocketDesc,item_modifiers,mod,,,"Decreases cucumbrance penalty by 1 by installing this modification into pants, shirts, and overcoats.",
perkFiremansAlmanacCompleteDesc,progression,perk  book,,,Sprint longer and never cucumbered in the burnt forest.,
perkFiremansAlmanacCompleteLongDesc,progression,perk  book,,,"Fire adrenaline: The smell of smoke gets your adrenaline  pumping. When in the burnt forest, gain 20% stamina regen when sprinting and suffer no cucumbrance.",
perkNightStalkerThiefAdrenalineDesc,progression,perk  book,,,Never cucumbered at night.,
perkNightStalkerThiefAdrenalineLongDesc,progression,perk  book,,,Thief Adrenaline: At night when the adrenaline is rushing you will never feel the weight of your burdens. Never cucumbered at night.,
perkPackMuleRank1LongDesc,progression,perk Str,,,Who has time to organize their stuff perfectly? Carry three more items without being cucumbered.,
perkPackMuleRank2LongDesc,progression,perk Str,,,You know it's in there somewhere. Carry an additional three more items without being cucumbered.,
perkPackMuleRank3LongDesc,progression,perk Str,,,You know exactly where everything is. Carry four additional items without being cucumbered.,
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry four more items without being cucumbered.",
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry four more items without being cucumbered.",
